Company Name,Visits,Data Size,Date,Link,Company Details
burdickpainting.com,1276,482 GB,12/2/2025 12:07,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/f7108c47-a91f-46e7-9a20-b01279812c81/,"Burdick Painting is a leading painting contractor in Northern California, with over 55 years of experience. They offer a range of services, including commercial and industrial painting, and have completed over 76,000 projects. The company is known for its dedication to quality and is trusted by notable clients such as Nissan, Nutanix, and Bloom Energy. With a large team of skilled professionals, Burdick Painting handles projects of all sizes with a commitment to efficiency and customer satisfaction."
bergconst.com,1181,573 GB,12/2/2025 12:06,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/759252a1-c89f-4946-82eb-8e0c1a31d67d/,"Berg Construction is a Northeast-based infrastructure company specializing in commercial and residential site work, paving, concrete services, waste management, and golf course projects. With a commitment to innovation and excellence, they emphasize utilizing advanced technologies and skilled personnel to deliver high-quality results. Their five service divisions and dedication to long-term client relationships make them versatile in handling various infrastructure needs. They focus on fostering a culture of autonomy and growth for their team members."
steveallcorn.remax.com,1210,56 GB,12/2/2025 12:05,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/72f14449-0529-472a-a96b-9aada765a671/,"Steve Allcorn is a seasoned real estate professional with over 30 years of experience in the industry. He began his career with RE/MAX in 1989 and has since become a distinguished figure in the Dallas-Fort Worth (DFW) real estate market. Currently, Steve serves as the General Manager of RE/MAX DFW Associates and manages the Flower Mound and Willow Bend offices.Throughout his career, Steve has been recognized for his unwavering dedication to client satisfaction, exceptional negotiation skills, and deep understanding of the local market. His commitment to excellence has earned him numerous accolades, including induction into the RE/MAX Hall of Fame and receiving the Lifetime Achievement award.Clients appreciate Steve's personalized approach, integrity, and relentless work ethic. His extensive experience and intimate knowledge of the DFW region make him a trusted advisor for both first-time homebuyers and seasoned investors. Steve's leadership and expertise continue to inspire confidence among his clients and peers alike"
alderconstruction.com,1233,201 GB,12/2/2025 12:03,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/33e07fc2-482b-4e40-88de-2438d5c1d5bf/,"Alder Construction Company, established in 1961, is a family-owned general contractor based in Salt Lake City, Utah. The company specializes in constructing water and wastewater treatment plants, pump stations, and pipeline projects. Over the years, Alder has completed more than 300 projects, primarily focusing on water-related infrastructure throughout the Western United States. They have experience in various project delivery methods, including hard dollar bid markets, Construction Manager/General Contractor (CM/GC) partnerships, and Engineering, Procurement, and Construction (EPC) contracts. Alder prides itself on its skilled field and office staff, many of whom have been with the company for over 20 years. The company emphasizes self-performing critical aspects of their projects, such as earthwork, concrete, yard and process piping, equipment installation, and structural metal work, to maintain control over quality, schedule, and costs."
weathersa.co.za,1320,59GB,12/2/2025 8:29,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/3b4c885a-d3a4-447d-b6ba-5b34af83ebf0/,"The South African Weather Service is the meteorological service under the South African government's Department of Environmental Affairs and Tourism. SAWS is a member of the World Meteorological Organization. The SAWS traces its lineage to the Cape of Good Hope Meteorological Commission, established in October 1860."
slchc.edu,1230,38 GB,12/2/2025 8:28,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/51355d02-bc60-4676-8043-d8abb62ba265/,"Founded in 1981 by Rush L. Robinson, Ph.D., and Steven N. Barsam, MBA, St. Louis College of Health Careers (SLCHC) has set about to revolutionize the way aspiring healthcare professionals enter the workforce. By combining real-world training with the structure of academia, we are able to serve the growing need for allied health professionals. Our founders draw upon their extensive experience in education, nursing, physical therapy, and cardiopulmonary medicine to create programs that fulfill the complex and sophisticated requirements of the medical arena.Information about some of the documents:Document 1This document contains reports on incidents recorded over a nine-day period. It includes information on casualties, their condition, contact details of those responsible and a description of the incidents.Document 2The 2019 financial report of Eduvision, Inc. (Arizona College) prepared by Weworski & Associates (auditing firm).Document 3Document is a contract for the use of MedHub's SaaS platform between MedHub, LLC and St. Louis College of Health Careers.Document 4The document is a financial statement for Eulonda Hamm, a student in the Practical Nursing program for the 2014-2015 year.www.slchc (2).PNG248.39 KBwww.slchc (1).PNG203.57 KBwww.slchc (3).PNG192.76 KBwww.slchc (4).PNG710.06 KB"
www.jsp.com,2606,400GB,4/2/2025 16:55,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/89779c6f-0a41-443a-bf51-57ee3f2e969f/,"JSP serves clients with our global supply and support presence.The products span; materials, sheets and boards, based on a range of polymers.Our products have brought benefit and value to many aspects of our daily lives. Our constant focus is on the safety of our products, reduction of energy consumption and wasted materials, and overall continual reduction in environmental impact.JSP continues to develop new applications. The company has research and development and manufacturing facilities in the major industrial centres of Americas, Europe and Asia. Our goal is to delight customers with innovative products and technologies and to establish continuously higher benchmarks of customer service.Our past has demonstrated that we can utilise our technological strengths and client focus to compete in any market and in any business environment.Jeff ElginPresident and CEO - NAExecutiveEmailjeff.elgin@jsp.comMobile+1.313.506.2766Work phone+1.920.876.4242Joe LandyDirector of IT, AmericasEmailjoe.landy@jsp.comMobile+1.412.527.4498Business fax+1.724.477.5001Steve SopherVice President, TechnologyEmailsteve.sopher@jsp.comMobile+1.412.480.6726Work phone+1.412.257.6131Bob StevensVP New Product Dev.Emailbob.stevens@jsp.comMobile+1.724.822.5614Work phone+1.724.477.5106Jonathan RamseyIT ManagerEmailjonathan.ramsey@jsp.comMobile269-986-9095Work phone517-544-6023"
primesourcestaffing.com,2329,90 GB,10/2/2025 21:37,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/db084573-0c96-4935-a902-52ecfd65b846/,90 GB. Cyber insurance policies included.https://www.zoominfo.com/c/primesource-staffing/108496762https://primesourcestaffing.com
kaplanstahler.com,2358,29gb,10/2/2025 14:37,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/1d4741bd-d3f8-4cb9-a40f-bdb9042f3723/,"https://www.zoominfo.com/c/kaplan-stahler-agency/77251577Kaplan Stahler AgencyAboutHeadquarters8383 Wilshire Blvd Ste 923, Beverly Hills, Cali...Phone Number(323) 653-4483Websitewww.kaplanstahler.comRevenue$5.6 MillionIndustryInsuranceKaplan Stahler Agency was founded by Elliot Stahler and Mitch Kaplan in 1981, seven years after they met in the storied William Morris Agency"
sdfab.com,2319,333gb,10/2/2025 14:27,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/c2a583b7-349a-47af-91aa-739a067176e9/,"Superior Duct FabricationBuilding Materials · Nevada, United States · 70 EmployeesView Company Info for FreeAboutHeadquarters4050 W Mesa Vista Ave, Las Vegas, Nevada, 89118...Phone Number(702) 505-9143Websitewww.sdfab.comRevenue$7.2 MillionIndustryBuilding Materials"
bazcooil.com,2389,63GB,10/2/2025 14:24,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/e24a2329-6854-4844-b6f1-a94f10585d6c/,"Bazco OilTransportation · Michigan, United States · 64 EmployeesView Company Info for FreeAboutHeadquarters30825 26 Mile Rd, New Haven, Michigan, 48048, U...Phone Number(586) 749-7444Websitewww.bazcooil.comRevenue$6.9 MillionIndustryTransportation General"
komline.com,2417,109gb,10/2/2025 14:21,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/8966cfde-af2e-46d4-ac4b-e38aa74a7caa/,"Komline-SandersonIndustrial Machinery & Equipment · New Jersey, United States · 100 EmployeesView Company Info for FreeAboutHeadquarters12 Holland Ave, Peapack, New Jersey, 07977, Uni...Phone Number(908) 234-9487Websitewww.komline.comRevenue$46 MillionIndustryIndustrial Machinery & Equipment"
wwcsd.net,3551,4 TB,9/2/2025 9:33,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/5e86ac95-b619-4566-a08f-e0ef8326c202/,"The school administration may think that teaching students the basics of math and literature is all that is required of it. But apparently basic information security hygiene was left out of the program. Why spend resources to protect the data of students, their families, and staff when you can just rely on luck? After all, everyone knows that the password ""password"" and a shared account for all staff is the pinnacle of the modern approach to privacy.We're putting your data out there because you seem to have decided it doesn't need to be protected at all. Lack of encryption, outdated systems, and a complete disregard for basic security measures isn't even negligence, it's a conscious choice to do nothing. Instead of preparing your students for the future, you set them up for failure, hoping nothing would happen. Thank you for making our job so easy."
Hpisd.org,3359,1 TB,9/2/2025 9:29,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/86fcb5b1-1dba-4591-ab9b-2abb46562772/,"The Highland Park Independent School District, grounded in an unyielding commitment to tradition, excellence, community, and integrity, provides an unrivaled and well-rounded education in academics, athletics, arts, and service, equipping all students to be citizen leaders and lifelong learners.The Highland Park Independent School District, proud of its commitment to integrity and excellence, has apparently decided that those values don't extend to digital security. After all, why protect the data of students, staff and their families when you can just rely on luck and the password ""123456""? Obviously, in your mind, ""leadership"" means being a trailblazer in privacy negligence.We're putting your data on display because you seem to have decided it doesn't need to be protected at all. Outdated passwords, no encryption, one account for half the office - these aren't even ""security holes,"" they're a willful abandonment of common sense. Instead of investing in protecting your customers' data, you decided to save money, hoping no one would notice. Well, we did. And yes, now the rest of the world knows about it too."
sautech.edu,4961,252GB,7/2/2025 11:42,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/8266a4b1-f512-45cf-b39d-d17056c75dd6/,"SAU Tech is a two-year public college located in Camden, Arkansas, and part of the Southern Arkansas University Systemhttps://www.sautech.edu/about-sau-tech/"
teamues.com,4782,200GB,6/2/2025 17:39,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/ecb22e9f-13ab-467e-b3cf-aa360f1b781c/,"Trusted Partners. Problem Solvers. At UES, we are experts in the areas of environmental and earth sciences, sustainable infrastructure solutions, and geophysical technologies."
sportadmin.se,6410,300 GB,4/2/2025 16:06,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/b3d4347e-bc22-419e-9540-643508d4ac87/,"About SportsAdminSportAdmin is a supplier of software adapted for sports clubs and is today Sweden’s largest privately owned membership system. SportAdmin also offers websites for sports clubs since November 2013.In January 2024, SportAdmin was acquired by Lime Technologieswhich is listed in Swedish Stock Exchange.https://www.reuters.com/markets/companies/LIMET.STSportsAdmin is used by 1.7 Million customers and 1700 clubs and associations.What Happen ?On 16 January 2025, SportsAdmin was hacked and all services went offline due to a ransomware attack.We have tried to approch Sportadmin through email, and we try Lime Technologies also through email and we did not get any response. but we see till this day SportAdmin lying to the public saying they don't know what data was stolen.What data we have?we have personal inforemation of all customers including childrens, parents address info phone numbers billing information donations information and most importantly many people which have ""private identity"" AKA high profile individualds and there personal informations. we have full source code of sportadmin and internal apps  and we have full database of sportadmin and appswhy we waited this long?we waited due the sensitivty of data like small childrens personal and private info. looks like sportadmin do not care about there customers privacy. after this deadline if we get no respone from sportadmin we will publish all the stoeln data.please find instructions to contact on your email.find some of the proof images1.png138.75 KB2.png224.47 KB3.png171.33 KB4.png165.18 KB5.png55.08 KB"
www.manpower.com,11710,500GB,22/1/2025 17:56,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/7e8f5d6f-7f01-492b-a902-763c7e8dbf14/,"***UPDATED***scr01.png212.55 KBscr04.png554.39 KBscr03.png153.31 KBscr01.png134.04 KBscr09.png111.03 KBscr01.png327.3 KBscr01.png974.63 KBscr01.png91.48 KBscr10.png171.79 KBscr01.png127.67 KB******************************************************************************What we have:financial statements, strategic planning, budget, marketing model, HR data analytics, business process outsourcing, HR consulting, databases of clients, including personal and corporate data (Passport scans, IDs, SSNs, addresses, contact information, test results, and other data), confidential contracts and non-disclosure agreements, corporate correspondence accumulated over many years.Unfortunately, all of your confidential data is on our servers. We are waiting for you to return in the chatroom; otherwise, I believe your competitors would like it very much!!!!!Manpower is a leading staffing agency that connects job seekers and employers across various industries and skills. Find work fast, access online training and career guidance, and explore specializations in engineering, finance and skilled technical."
askgs.ma,769,500gb,3/2/2025 17:47,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/2b1e7272-a22e-4612-aa22-7c278677f7a0/,"ASK Gras Savoye is an African insurance broker and risk advisory company.ASK Gras Savoye does not care about the safety of its clients' and partners' data. All data is stored in the public domain, and the network security systems are completely shut down. Due to multiple vulnerabilities ASK Gras Savoye was easily hacked and all data of the company, its customers and partners were stolen:- Personal data- Financial and banking data- Insurance data- Internal documents- All critical customer dataAnd much more.ENJOY!Download link (TOR):  http://jg5tcesf2bwacot7fgzut2u3vhfbzj5jwmad4qqlemjojla6wpzriaqd.onion/4ef2ea0ef1976afb7682d21ccf03e281The management of the company refused to protect their clients' data from being leaked saying they don't care about them and what happens to them. We recommend all clients of this company to terminate their contracts with them because their servers have absolutely no security and in the near future their other branches will also be subject to attacks.Some proofs:Cacsdspture.PNG34.13 KBCapcdssture.PNG24.29 KBCapsdfdsfsdture.PNG213.76 KBCaptreeure.PNG71.32 KBCaptucdscsdre.PNG1.46 MBCaptucsssse.PNG163.54 KBCaptufwewre.PNG172.79 KBccdss.PNG106.58 KBCcdssapture.PNG214.94 KB"
clarkfreightways.com,5256,106 GB,4/2/2025 13:17,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/03337cb2-14c0-4cb4-97da-102d7eac0b99/,"Clark Freightways is one of the largest and best-in-class LTL carriers in BC.There, we said it.It may be a bold statement to make, but it’s who we are in a nutshell, and with over 60 years of service and growth there’s little we haven’t learned and few problems we haven’t solved.We grew up here in BC, and today our company consists of dedicated refrigerated fleets; general freight and other transportation divisions; a strategic network of 25 distribution facilities directly serving over 600 communities across the province; and advanced technology that ensures unparalleled efficiency of transport.Most importantly of all, we have a skillful team of drivers, dispatchers, service people and other professionals – the best in the business, in our opinion.After all those decades, we’re also still family-owned. That means we answer to you, not a group of shareholders, which allows us to remain nimble and responsive to your needs.Thanks to these elements, we’ve developed long-standing relationships with some of the most respected companies in BC, many of which have been with us for over 25 years. Our customers typically praise us for our seamless and reliable service, our responsiveness, and our attention to detail – and frankly, we take great pride in these compliments.With 60-plus years of experience under our belt, we appreciate that listening to you and determining your needs is one of the most important facets of the transportation process; fulfilling them is the other.We also provide:A strategic network of service centers for efficient and reliable distribution of goodsOvernight service (including Saturdays) to most BC communitiesReliable on-time pickup and delivery, and affordable pricingMulti-temperature storageOver 200 trailers, and a P&D fleet equipped with GPS dispatching and wireless hand-held computers for real-time shipment and delivery detailsDirect-to-store-deliveries and other customized LTL and TL distribution solutionsCustomer-friendly web services to increase your productivity, reduce costs and meet your communication requirementsInformation about some of the documents:Document 1Draft Share Purchase Agreement between several Canadian companies,including Claddagh Services Inc. and Clark Reefer Lines Ltd,disclosed confidential details of the transaction, including financial terms, obligations of the parties and closing conditions.The document also contains personal details of the participants, such as addresses and financial data of the companies.Document 2The document is a corporate agreement dealing with various aspects of the company's operations,including asset management, labor relations and legal compliance.The document emphasizes that the company is in compliance with all applicable laws and regulations and has all necessary permits to conduct its business.The document also states that the company has not experienced any material changes that could adversely affect its operations.Document 3The document is an agreement to purchase the property,which details the obligations and warranties of the sellers, as well as the terms of indemnification of the buyer.The main provisions of the document include:1. the sellers' obligations to indemnify the buyer in the event of breach or inaccuracy of the representations and warranties set forth in the agreement.2. Terms regarding taxes, transaction costs, and other obligations that must be accounted for before the transaction is finalized.3. Procedures relating to claims for damages, including the hold period and the possibility of sellers' objections.Document 4Confidential Share Purchase and Sale Agreement.The document, executed in Canada, contains the key terms of the transaction, including the calculation of the purchase price,which starts at a base amount of $801,000 and is adjusted for closing date debt,net working capital and transaction costs. The document also emphasizes that all cash amounts are in Canadian dollarsand that the agreement is the result of independent negotiations between the parties.Screen5.PNG427.66 KBScreen4.PNG141.36 KBScreen3.PNG320.69 KBScreen2.PNG239.25 KBScreen1.PNG460.08 KB"
capstoneins.ca,5291,25 GB,4/2/2025 13:02,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/b5a571a4-b1bb-4498-8c5c-50440f4b1957/,"Capstone Insurance is a fast growing insurance agency dedicated to providing clients with the best insurance solutions possible. We take pride in maintaining a professional and efficient work environment where each person is fully encouraged to achieve his or her professional and personal goals.Information about some of the documents:Document 1This document, is a billing report or statement of account for March 2024.Contains account number, payment amounts, transactions, payer and payee details.Contains details of credit or debit transactions, subscription services, balances and debts.Includes billing date, payment period, description of services and final amount.Personal and financial details of the account holder - full name, account number, payment details.Transaction history - where, to whom and for what payments were made.Balance information - current balances, debts, charges.Document 2Financial statement of revenues and expenditures for a specified period (as of June 14, 2024).Includes:Income: profits from insurance companies (Aviva, Allianz, Intact, Wawanesa etc), commission income, interest and other income.Expenses: costs of commissions, salaries, rent, accounting, subscriptions, internet, insurance.Operating and administrative expenses.Net profit / loss for the period.Company financials - revenues, profits, expenses, financial strategies.Commercial relationships - information about partners, insurance companies, brokers, service providers.Financial liabilities - loans, bank commissions, office rent.Document 3“SERVICE APPLICATION FOR TOYOTA NEW GOLD & PLATINUM PROGRAMS”(Toyota service application)Document Content:Toyota dealer information:Name: OpenRoad Toyota RichmondDealer Code: 01078Address: 13100 Smallwood Place, Richmond, BC, V6V 1W8Phone: (604) 273-3766Customer (insurance company) details:Name: Capstone Insurance Services Ltd.Address: 1155-4380 No 3 Road, Richmond, BC, V6X 3V7Phone: (778) 829-9518Financing Information:Lessor: Toyota Credit Canada Inc.Lease term: 36 monthsCompany Address: 80 Micro Court, Suite 200, Markham, ON, L3R 9Z5Phone: (905) 513-8200Vehicle Information:Make: ToyotaModel: CorollaVIN (unique identification number): 5YFBPMBE2NP385448Year of manufacture: 2022Mileage at the time of registration: 9 kmFinancial Information:Cost of service: $1,399.00Legal Information:Customer has signed a commercial exception clause, which means this vehicle is not eligible for commercial use.Document 4Image: “NOTICE OF ASSESSMENT”(Notice of Tax Assessment)Document Content:Issued by: the British Columbia Ministry of FinanceDate: February 28, 2024Received in the system March 11, 2024Taxpayer Information:Company: Capstone Insurance Services Ltd.Address: 1155-4380 No. 3 Road, Richmond, BC, V6X 3V7Financial Information:Taxable income: $837,751.98Tax payable: $24,504.25Total tax calculation: $24,504.25Tax paid: $24,504.25Balance: $0.00 (tax paid in full)ca12.PNG203.12 KBca2.PNG254.98 KBca1.PNG106.02 KBcap.PNG398.11 KB"
www.aymcdonald.com,5561,200gb,31/1/2025 14:51,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/270ca07d-3ce6-4e04-9adf-9c66542aacf1/,"Founded in 1856, A.Y. McDonald manufacturers waterworks brass, plumbing valves, pumps and water systems, and high pressure gas valves and meter bars. They are headquartered in Dubuque, Iowa."
alojaimi.com,5445,10Gb,20/1/2025 9:33,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/c8f1e53f-732d-4e9c-92f6-dafa9246aa6b/,"Al-Ojaimi Group designs and manufactures a wide range of components for the technological equipment of large real estate projects, residential areas and industrial zones. This holding offers not only engineering solutions, but also the construction of residential complexes"
www.aswgr.com,5392,350 GB,3/2/2025 16:46,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/e03e1b3e-c247-4515-932c-860be2dee388/,"Together we've built the regional presence of two of the main apparel brands world wide: Tommy Hilfiger and CALVIN KLEIN. As strategic partners since the beginning, we are proud to have positioned our brands in Latin America, with over 800 points of sale, and strong expansion plans.Information about some of the documents:Document 1The document is the financial report of AMERICAN APPAREL STT CORPORATION, operating under the TOMMY HILFIGER brand, for the four months ended April 30, 2014.The report contains data on revenues, cost of sales, gross profit and operating expenses.Document 2This document is a report on the revenues and retained earnings of American Apparel STT Corporation, operating under the Tommy Hilfiger brand, for the ten months ended October 31, 2013.The report contains sales, cost of sales, gross profit, operating expenses, pre-tax and after-tax net income, and retained earnings at the beginning and end of the period.The document also details general and administrative expenses, including salaries, payroll taxes, rent, automobile expenses, utilities and other professional fees.Document 3The document is a report on the earnings and retained earnings of American Apparel STT Corporation, operating under the Tommy Hilfiger brand, for the five months ended May 31, 2013.The report includes sales, cost of sales, gross profit, operating expenses, net income before income taxes, income taxes and net income.Also shown are retained earnings at the beginning and end of the period, as well as prior period adjustments.screen1 aswgr.com.JPG270.92 KBscreen2 aswgr.com.JPG288.85 KBscreen3 aswgr.com.JPG97.68 KBscreen4 aswgr.com.JPG641.31 KBscreen5 aswgr.com.JPG67.47 KB"
www.origene.com,5755,500gb,3/2/2025 13:08,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/eb60d7a0-54c2-46d5-991b-264d482b3f31/,"Scientists often have difficulty getting access to a genes that was published recently or genes whose function are not known yet. To study these, they must develop the basic tools such as a clone of GOI, proteins and antibodies which is resource intense, time consuming and often risky. OriGene offers these scientists a ready-to-use solution that has been verified in the laboratory.OriGene offers these essentials for all genes for human and mouse. OriGene has a searchable bank of over 586,116 cDNA Clones, many of them are sequenced and protein expression is verified. In addition, we offer over 27K recombinant proteins and 144K primary antibodies. We are only company to provide complete solution starting from clone to antibody and assays, a one-stop-shop leading you from genomics to proteomics."
