Company Name,Visits,Data_Volume,Date,Type_of_Data_Stolen,Sector,Industry_Group,Country_of_Origin,Data_Volume_GB
www.manpower.com,11710,500 GB,22/1/2025,Financial & Payment Data,Industrials,Human Resource & Employment Services,United States,500.0
www.manpower.com,11710,500 GB,22/1/2025,Corporate & Business Data,Industrials,Human Resource & Employment Services,United States,500.0
www.manpower.com,11710,500 GB,22/1/2025,Authentication & Credential Data,Industrials,Human Resource & Employment Services,United States,500.0
askgs.ma,769,500 gb,3/2/2025,Personal Identifiable Information (PII),Financials,Insurance,Morocco,500.0
askgs.ma,769,500 gb,3/2/2025,Financial & Payment Data,Financials,Insurance,Morocco,500.0
askgs.ma,769,500 gb,3/2/2025,Corporate & Business Data,Financials,Insurance,Morocco,500.0
askgs.ma,769,500 gb,3/2/2025,Insurance Data,Financials,Insurance,Morocco,500.0
clarkfreightways.com,5256,106 GB,4/2/2025,Corporate & Business Data,Industrials,Trucking,Canada,106.0
clarkfreightways.com,5256,106 GB,4/2/2025,Financial & Payment Data,Industrials,Trucking,Canada,106.0
capstoneins.ca,5291,25 GB,4/2/2025,Personal Identifiable Information (PII),Financials,Insurance,Canada,25.0
capstoneins.ca,5291,25 GB,4/2/2025,Financial & Payment Data,Financials,Insurance,Canada,25.0
capstoneins.ca,5291,25 GB,4/2/2025,Corporate & Business Data,Financials,Insurance,Canada,25.0
www.aymcdonald.com,5561,200gb,31/1/2025,Corporate & Business Data,Industrials,Machinery,United States,200.0
alojaimi.com,5445,10Gb,20/1/2025,Corporate & Business Data,Industrials,Construction & Engineering,South Africa,10.0
www.aswgr.com,5392,350 GB,3/2/2025,Corporate & Business Data,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",United States,350.0
www.aswgr.com,5392,350 GB,3/2/2025,Financial & Payment Data,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",United States,350.0
www.origene.com,5755,500gb,3/2/2025,Intellectual Property (IP) & Research Data,Health Care,Health Care Equipment & Supplies,United States,500.0
www.origene.com,5755,500gb,3/2/2025,Corporate & Business Data,Health Care,Health Care Equipment & Supplies,United States,500.0
smithmidland.com,5747,216 GB,3/2/2025,Intellectual Property (IP) & Research Data,Industrials,Construction Materials,United States,216.0
smithmidland.com,5747,216 GB,3/2/2025,Corporate & Business Data,Industrials,Construction Materials,United States,216.0
smithmidland.com,5747,216 GB,3/2/2025,Financial & Payment Data,Industrials,Construction Materials,United States,216.0
smithmidland.com,5747,216 GB,3/2/2025,Legal & Regulatory Data,Industrials,Construction Materials,United States,216.0
smithmidland.com,5747,216 GB,3/2/2025,System & Infrastructure Data,Industrials,Construction Materials,United States,216.0
www.wongfleming.com,5537,500gb,3/2/2025,Corporate & Business Data,Financials,Diversified Financial Services,United States,500.0
midwaymetals.com.vn,8611,46GB,29/1/2025,Corporate & Business Data,Materials,Metals & Mining,Vietnam,46.0
www.healthcarewithinreach.org,8334,400gb,27/1/2025,Medical & Health Records (PHI),Health Care,Health Care Providers & Services,USA,400.0
www.pcm.com.mx,13299,3GB,18/1/2025,Corporate & Business Data,Materials,Paper & Forest Products,Mexico,3.0
samsill.com,8928,3.1 TB,23/1/2025,Corporate & Business Data,Industrials,Commercial Services & Supplies,United States,3174.4
archaeologicalresearchservices.com,11522,83GB,23/1/2025,Corporate & Business Data,Industrials,Commercial & Professional Services,United Kingdom,83.0
www.missionbank.bank,10743,2.7 TB,18/12/2024,Personal Identifiable Information (PII),Financials,Banks,United States,2764.8
www.missionbank.bank,10743,2.7 TB,18/12/2024,Financial & Payment Data,Financials,Banks,United States,2764.8
www.missionbank.bank,10743,2.7 TB,18/12/2024,Authentication & Credential Data,Financials,Banks,United States,2764.8
www.missionbank.bank,10743,2.7 TB,18/12/2024,Corporate & Business Data,Financials,Banks,United States,2764.8
sdkgroup.com,11150,230GB,21/1/2025,Corporate & Business Data,Industrials,Marine Transportation,Hong Kong,230.0
sdkgroup.com,11150,230GB,21/1/2025,Financial & Payment Data,Industrials,Marine Transportation,Hong Kong,230.0
www.grohe.com,10345,100GB,21/1/2025,Corporate & Business Data,Industrials,Building Products,Germany,100.0
ilemgroup.com,10856,16GB,19/1/2025,Corporate & Business Data,Information Technology,IT Services,Switzerland,16.0
ilemgroup.com,10856,16GB,19/1/2025,System & Infrastructure Data,Information Technology,IT Services,Switzerland,16.0
www.americanstandard-us.com,10510,400GB,17/1/2025,Corporate & Business Data,Industrials,Building Products,United States,400.0
miedemaproduce.com,10717,11GB,21/1/2025,Corporate & Business Data,Consumer Staples,Food & Staples Retailing,United States,11.0
boardman-hamilton.com,11281,35GB,21/1/2025,Corporate & Business Data,Financials,Insurance,United States,35.0
boardman-hamilton.com,11281,35GB,21/1/2025,Financial & Payment Data,Financials,Insurance,United States,35.0
boardman-hamilton.com,11281,35GB,21/1/2025,Personal Identifiable Information (PII),Financials,Insurance,United States,35.0
whychoosebw.com,10744,157GB,21/1/2025,Corporate & Business Data,Materials,Construction Materials,USA,157.0
precisionmechsd.com,10265,149GB,21/1/2025,Corporate & Business Data,Industrials,Construction & Engineering,United States,149.0
supremegroup.co.in,10291,102GB,21/1/2025,Financial & Payment Data,Industrials,Auto Components,India,102.0
supremegroup.co.in,10291,102GB,21/1/2025,Corporate & Business Data,Industrials,Auto Components,India,102.0
supremegroup.co.in,10291,102GB,21/1/2025,Personal Identifiable Information (PII),Industrials,Auto Components,India,102.0
bsegroup.it,13790,142GB,16/1/2025,System & Infrastructure Data,Industrials,Commercial Services & Supplies,Italy,142.0
AKConstructors.com,12504,130GB,14/1/2025,Personal Identifiable Information (PII),Industrials,Construction & Engineering,United States,130.0
AKConstructors.com,12504,130GB,14/1/2025,Corporate & Business Data,Industrials,Construction & Engineering,United States,130.0
Intelservice.com,11039,20gb,12/1/2025,Corporate & Business Data,Energy,Energy Equipment & Services,Nigeria,20.0
www.wisesocon.com,13241,40 GB,8/1/2025,Corporate & Business Data,Information Technology,IT Services,Thailand,40.0
www.wisesocon.com,13241,40 GB,8/1/2025,System & Infrastructure Data,Information Technology,IT Services,Thailand,40.0
mi.edu,12601,1000 GB,20/12/2024,Financial & Payment Data,Financials,Banks,United States,1000.0
mi.edu,12601,1000 GB,20/12/2024,Corporate & Business Data,Financials,Banks,United States,1000.0
amerplumb.com,13507,495 GB,10/1/2025,Corporate & Business Data,Industrials,Construction & Engineering,United States,495.0
www.fairhallzhang.com,12476,234 GB,9/1/2025,Corporate & Business Data,Financials,Diversified Financial Services,Canada,234.0
www.fairhallzhang.com,12476,234 GB,9/1/2025,Financial & Payment Data,Financials,Diversified Financial Services,Canada,234.0
www.primalwear.com,12250,16 GB,9/1/2025,Corporate & Business Data,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",United States,16.0
www.rotaryeng.co.th,12347,170 GB,9/1/2025,Corporate & Business Data,Industrials,Construction & Engineering,Thailand,170.0
www.mie.com.my,12802,366 GB,9/1/2025,Corporate & Business Data,Energy,Energy Equipment & Services,Malaysia,366.0
www.excelresourcing.co.uk,11927,35 GB,9/1/2025,Corporate & Business Data,Industrials,Commercial & Professional Services,United Kingdom,35.0
www.temotekstil.com.tr,12741,55 GB,9/1/2025,Corporate & Business Data,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Turkey,55.0
www.leaguecenter.org,12357,116 GB,9/1/2025,Medical & Health Records (PHI),Health Care,Health Care Providers & Services,United States,116.0
drive-lines.com,12425,31GB,9/1/2025,Corporate & Business Data,Industrials,Machinery,United States,31.0
castlehillha.co.uk,12435,21GB,9/1/2025,Corporate & Business Data,Real Estate,Real Estate Management & Development,United Kingdom,21.0
acquafertil.com.br,13183,219 GB,7/1/2025,Corporate & Business Data,Industrials,Machinery,Brazil,219.0
www.geedingconstruction.com,12982,200gb,27/12/2024,Corporate & Business Data,Industrials,Construction & Engineering,United States,200.0
www.alliancemat.com,12891,200gb,27/12/2024,Corporate & Business Data,Industrials,Trading Companies & Distributors,United States,200.0
www.metlife.com,19134,1Tb,30/12/2024,Corporate & Business Data,Financials,Insurance,United States,1024.0
groupegm.com,16206,28 GB,1/1/2025,Corporate & Business Data,Consumer Discretionary,"Hotels, Restaurants & Leisure",France,28.0
lianbeng.sg,15870,2TB,1/1/2025,Personal Identifiable Information (PII),Industrials,Construction & Engineering,Singapore,2048.0
lianbeng.sg,15870,2TB,1/1/2025,Financial & Payment Data,Industrials,Construction & Engineering,Singapore,2048.0
lianbeng.sg,15870,2TB,1/1/2025,Authentication & Credential Data,Industrials,Construction & Engineering,Singapore,2048.0
lianbeng.sg,15870,2TB,1/1/2025,Corporate & Business Data,Industrials,Construction & Engineering,Singapore,2048.0
www.psccorporation.com,16751,378 GB,29/12/2024,Corporate & Business Data,Consumer Staples,Food Products,Singapore,378.0
asesoriacamen.es,16601,7 GB,28/12/2024,Corporate & Business Data,Financials,Diversified Financial Services,Spain,7.0
diazfoodsolutions.es,18469,30 GB,26/12/2024,Corporate & Business Data,Consumer Staples,Food Distribution,Spain,30.0
diazfoodsolutions.es,18469,30 GB,26/12/2024,Financial & Payment Data,Consumer Staples,Food Distribution,Spain,30.0
www.mccoyglobal.com,18401,472GB,16/12/2024,Corporate & Business Data,Industrials,Machinery,Canada,472.0
www.semfin.com,16941,479 GB,23/12/2024,Corporate & Business Data,Information Technology,Software,Switzerland,479.0
intellinet-es.com,23490,45Gb,18/12/2024,Corporate & Business Data,Consumer Discretionary,"Hotels, Restaurants & Leisure",Argentina,45.0
intellinet-es.com,23490,45Gb,18/12/2024,Personal Identifiable Information (PII),Consumer Discretionary,"Hotels, Restaurants & Leisure",Argentina,45.0
intellinet-es.com,23490,45Gb,18/12/2024,Communication & Social Data,Consumer Discretionary,"Hotels, Restaurants & Leisure",Argentina,45.0
tabocas.com.br,18651,500GB,20/12/2024,Corporate & Business Data,Industrials,Construction & Engineering,Brazil,500.0
tabocas.com.br,18651,500GB,20/12/2024,Personal Identifiable Information (PII),Industrials,Construction & Engineering,Brazil,500.0
tabocas.com.br,18651,500GB,20/12/2024,System & Infrastructure Data,Industrials,Construction & Engineering,Brazil,500.0
tabocas.com.br,18651,500GB,20/12/2024,Intellectual Property (IP) & Research Data,Industrials,Construction & Engineering,Brazil,500.0
www.tekni-plex.com,24207,424GB,13/12/2024,Authentication & Credential Data,Materials,Paper & Packaging,United States,424.0
www.tekni-plex.com,24207,424GB,13/12/2024,Corporate & Business Data,Materials,Paper & Packaging,United States,424.0
www.tekni-plex.com,24207,424GB,13/12/2024,Financial & Payment Data,Materials,Paper & Packaging,United States,424.0
www.tekni-plex.com,24207,424GB,13/12/2024,Personal Identifiable Information (PII),Materials,Paper & Packaging,United States,424.0
planetgroup.co.il,19729,125 GB,18/12/2024,Corporate & Business Data,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Israel,125.0
planetgroup.co.il,19729,125 GB,18/12/2024,Financial & Payment Data,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Israel,125.0
nbleisuretrust.org,21129,73 GB,14/12/2024,Corporate & Business Data,Consumer Discretionary,Consumer Services,United Kingdom,73.0
redknee.com,20033,15 GB,14/12/2024,Authentication & Credential Data,Information Technology,Software,Canada,15.0
redknee.com,20033,15 GB,14/12/2024,Corporate & Business Data,Information Technology,Software,Canada,15.0
redknee.com,20033,15 GB,14/12/2024,Communication & Social Data,Information Technology,Software,Canada,15.0
redknee.com,20033,15 GB,14/12/2024,System & Infrastructure Data,Information Technology,Software,Canada,15.0
medisecure.com.au,18995,1.9 TB,14/12/2024,Medical & Health Records (PHI),Health Care,Health Care Technology,Australia,1945.6
medisecure.com.au,18995,1.9 TB,14/12/2024,System & Infrastructure Data,Health Care,Health Care Technology,Australia,1945.6
choicemg.com,19969,130 GB,14/12/2024,Corporate & Business Data,Health Care,Health Care Providers & Services,United States,130.0
www.specialtree.com,19546,300GB,17/10/2024,Medical & Health Records (PHI),Health Care,Health Care Providers & Services,United States,300.0
scania.pl,20615,1.2TB,16/12/2024,Corporate & Business Data,Industrials,Machinery,Poland,1228.8
www.aflak.com.sa,19972,20GB,12/12/2024,Corporate & Business Data,Consumer Discretionary,Household Durables,South Africa,20.0
www.aflak.com.sa,19972,20GB,12/12/2024,Financial & Payment Data,Consumer Discretionary,Household Durables,South Africa,20.0
www.aflak.com.sa,19972,20GB,12/12/2024,System & Infrastructure Data,Consumer Discretionary,Household Durables,South Africa,20.0
www.aflak.com.sa,19972,20GB,12/12/2024,Dark Web & Underground Economy Data,Consumer Discretionary,Household Durables,South Africa,20.0
Levinlaw.com,19758,35 TB,29/11/2024,Personal Identifiable Information (PII),Financials,Diversified Financial Services,United States,35840.0
Levinlaw.com,19758,35 TB,29/11/2024,Medical & Health Records (PHI),Financials,Diversified Financial Services,United States,35840.0
Levinlaw.com,19758,35 TB,29/11/2024,Corporate & Business Data,Financials,Diversified Financial Services,United States,35840.0
recope.go.cr,21791,240 GB,9/12/2024,Corporate & Business Data,Energy,Oil & Gas Refining & Marketing,Costa Rica,240.0
recope.go.cr,21791,240 GB,9/12/2024,System & Infrastructure Data,Energy,Oil & Gas Refining & Marketing,Costa Rica,240.0
tectaamerica.com,19301,1.2TB,10/12/2024,Personal Identifiable Information (PII),Industrials,Commercial Services & Supplies,United States,1228.8
tectaamerica.com,19301,1.2TB,10/12/2024,Financial & Payment Data,Industrials,Commercial Services & Supplies,United States,1228.8
tectaamerica.com,19301,1.2TB,10/12/2024,Medical & Health Records (PHI),Industrials,Commercial Services & Supplies,United States,1228.8
tectaamerica.com,19301,1.2TB,10/12/2024,Corporate & Business Data,Industrials,Commercial Services & Supplies,United States,1228.8
tectaamerica.com,19301,1.2TB,10/12/2024,Authentication & Credential Data,Industrials,Commercial Services & Supplies,United States,1228.8
greenscape.us.com,20370,236GB,10/12/2024,Financial & Payment Data,Industrials,Commercial Services & Supplies,United States,236.0
greenscape.us.com,20370,236GB,10/12/2024,Corporate & Business Data,Industrials,Commercial Services & Supplies,United States,236.0
womenscare.com,18522,141 GB,10/12/2024,Personal Identifiable Information (PII),Health Care,Health Care Providers & Services,United States,141.0
womenscare.com,18522,141 GB,10/12/2024,Medical & Health Records (PHI),Health Care,Health Care Providers & Services,United States,141.0
womenscare.com,18522,141 GB,10/12/2024,Corporate & Business Data,Health Care,Health Care Providers & Services,United States,141.0
mpdory.com,20211,*GB,25/11/2024,Corporate & Business Data,Industrials,Construction Materials,United States,0.0
inia.es,19019,112GB,9/12/2024,Intellectual Property (IP) & Research Data,Industrials,Commercial & Professional Services,Spain,112.0
inia.es,19019,112GB,9/12/2024,Government & Military Data,Industrials,Commercial & Professional Services,Spain,112.0
pro-mec.com,19093,26 GB,6/12/2024,Corporate & Business Data,Industrials,Construction & Engineering,Italy,26.0
hanwhacimarron.com,19346,200GB,5/12/2024,Intellectual Property (IP) & Research Data,Industrials,Aerospace & Defense,United States,200.0
frigopesca.com.ec,17330,1TB,4/12/2024,Personal Identifiable Information (PII),Consumer Staples,Packaged Foods & Meats,Ecuador,1024.0
frigopesca.com.ec,17330,1TB,4/12/2024,Corporate & Business Data,Consumer Staples,Packaged Foods & Meats,Ecuador,1024.0
frigopesca.com.ec,17330,1TB,4/12/2024,System & Infrastructure Data,Consumer Staples,Packaged Foods & Meats,Ecuador,1024.0
islandphoto.com,18338,121GB,4/12/2024,Personal Identifiable Information (PII),Consumer Discretionary,Media,United States,121.0
islandphoto.com,18338,121GB,4/12/2024,Financial & Payment Data,Consumer Discretionary,Media,United States,121.0
islandphoto.com,18338,121GB,4/12/2024,Corporate & Business Data,Consumer Discretionary,Media,United States,121.0
www.bluco.com,27191,45GB,7/11/2024,Corporate & Business Data,Industrials,Machinery,United States,45.0
www.d47.org,18894,600GB,31/10/2024,Personal Identifiable Information (PII),Consumer Discretionary,Consumer Services,United States,600.0
troxlerlabs.com,19401,300GB,4/12/2024,System & Infrastructure Data,Industrials,Machinery,United States,300.0
westbornmarket.com,19107,26GB,3/12/2024,Corporate & Business Data,Consumer Staples,Food Retail,United States,26.0
westbornmarket.com,19107,26GB,3/12/2024,Financial & Payment Data,Consumer Staples,Food Retail,United States,26.0
westbornmarket.com,19107,26GB,3/12/2024,Personal Identifiable Information (PII),Consumer Staples,Food Retail,United States,26.0
www.marietta-city.org,17759,500GB,3/12/2024,Personal Identifiable Information (PII),Consumer Discretionary,Consumer Services,United States,500.0
www.marietta-city.org,17759,500GB,3/12/2024,Corporate & Business Data,Consumer Discretionary,Consumer Services,United States,500.0
3ccaresystems.com,21620,100GB,19/11/2024,Medical & Health Records (PHI),Health Care,Health Care Technology,Germany,100.0
3ccaresystems.com,21620,100GB,19/11/2024,Corporate & Business Data,Health Care,Health Care Technology,Germany,100.0
comarchs.com,26454,615 GB,11/11/2024,Corporate & Business Data,Industrials,Commercial Services & Supplies,United States,615.0
www.sefiso-atlantique.fr,20086,95 GB,3/12/2024,Corporate & Business Data,Real Estate,Real Estate Development,France,95.0
www.wsgcpa.com,20522,116 GB,3/12/2024,Corporate & Business Data,Financials,Diversified Financial Services,United States,116.0
www.goethe-university-frankfurt.de,17925,180 GB,3/12/2024,Intellectual Property (IP) & Research Data,Consumer Discretionary,Education Services,Germany,180.0
www.goethe-university-frankfurt.de,17925,180 GB,3/12/2024,Corporate & Business Data,Consumer Discretionary,Education Services,Germany,180.0
www.dalgroup.com,18356,55 GB,3/12/2024,Corporate & Business Data,Consumer Staples,Food Products,Sudan,55.0
www.kiswire.com,19079,58 GB,3/12/2024,Corporate & Business Data,Materials,Steel,South Korea,58.0
www.giorgiovisconti.it,17103,40 GB,3/12/2024,Corporate & Business Data,Consumer Discretionary,Consumer Durables & Apparel,Italy,40.0
www.fibrogen.com,17357,75 GB,3/12/2024,Intellectual Property (IP) & Research Data,Health Care,Biotechnology,United States,75.0
www.iscinc93.com,17428,77 GB,3/12/2024,Corporate & Business Data,Industrials,Commercial Services & Supplies,United States,77.0
KHKKLOW.com,19732,692 Gb,2/12/2024,Corporate & Business Data,Financials,Diversified Financial Services,Italy,692.0
costelloeye.com,19398,50GB,1/12/2024,Personal Identifiable Information (PII),Health Care,Health Care Providers & Services,United States,50.0
costelloeye.com,19398,50GB,1/12/2024,Medical & Health Records (PHI),Health Care,Health Care Providers & Services,United States,50.0
tascosaofficemachines.com,17542,46GB,1/12/2024,Financial & Payment Data,Information Technology,"Technology Hardware, Storage & Peripherals",United States,46.0
tascosaofficemachines.com,17542,46GB,1/12/2024,Corporate & Business Data,Information Technology,"Technology Hardware, Storage & Peripherals",United States,46.0
tascosaofficemachines.com,17542,46GB,1/12/2024,Personal Identifiable Information (PII),Information Technology,"Technology Hardware, Storage & Peripherals",United States,46.0
qualitybillingservice.com,18056,133GB,1/12/2024,Financial & Payment Data,Health Care,Health Care Technology,United States,133.0
qualitybillingservice.com,18056,133GB,1/12/2024,Medical & Health Records (PHI),Health Care,Health Care Technology,United States,133.0
qualitybillingservice.com,18056,133GB,1/12/2024,Corporate & Business Data,Health Care,Health Care Technology,United States,133.0
everde.com,19101,317GB,1/12/2024,Personal Identifiable Information (PII),Consumer Staples,Household Products,United States,317.0
everde.com,19101,317GB,1/12/2024,Corporate & Business Data,Consumer Staples,Household Products,United States,317.0
internetway.com.br,17432,28GB,1/12/2024,System & Infrastructure Data,Communication Services,Telecommunication Services,Brazil,28.0
ppotts.com,18257,*GB,28/11/2024,Corporate & Business Data,Information Technology,Software,United States,0.0
ppotts.com,18257,*GB,28/11/2024,System & Infrastructure Data,Information Technology,Software,United States,0.0
ppotts.com,18257,*GB,28/11/2024,Intellectual Property (IP) & Research Data,Information Technology,Software,United States,0.0
corenroll.com,20031,205 GB,27/11/2024,Personal Identifiable Information (PII),Information Technology,Software,United States,205.0
corenroll.com,20031,205 GB,27/11/2024,Financial & Payment Data,Information Technology,Software,United States,205.0
corenroll.com,20031,205 GB,27/11/2024,Authentication & Credential Data,Information Technology,Software,United States,205.0
corenroll.com,20031,205 GB,27/11/2024,Corporate & Business Data,Information Technology,Software,United States,205.0
corenroll.com,20031,205 GB,27/11/2024,System & Infrastructure Data,Information Technology,Software,United States,205.0
tappi.org,20389,100Gb,27/11/2024,Corporate & Business Data,Materials,Paper & Forest Products,United States,100.0
tappi.org,20389,100Gb,27/11/2024,Intellectual Property (IP) & Research Data,Materials,Paper & Forest Products,United States,100.0
alleghenycontract.com,20409,100Gb,27/11/2024,Corporate & Business Data,Energy,Energy Equipment & Services,United States,100.0
times-supermarket.com,21768,280GB,27/11/2024,Corporate & Business Data,Consumer Staples,Food Retail,United States,280.0
wheelerassoc.com,21380,*GB,27/11/2024,Financial & Payment Data,Financials,Commercial Services & Supplies,United States,0.0
wheelerassoc.com,21380,*GB,27/11/2024,Corporate & Business Data,Financials,Commercial Services & Supplies,United States,0.0
wheelerassoc.com,21380,*GB,27/11/2024,System & Infrastructure Data,Financials,Commercial Services & Supplies,United States,0.0
gronercrm.com.br,20598,822 GB,27/11/2024,Corporate & Business Data,Information Technology,Software,Brazil,822.0
gronercrm.com.br,20598,822 GB,27/11/2024,Intellectual Property (IP) & Research Data,Information Technology,Software,Brazil,822.0
gronercrm.com.br,20598,822 GB,27/11/2024,System & Infrastructure Data,Information Technology,Software,Brazil,822.0
osmedica.com.ar,22003,*GB,27/11/2024,Personal Identifiable Information (PII),Health Care,Health Care Providers & Services,Argentina,0.0
osmedica.com.ar,22003,*GB,27/11/2024,Medical & Health Records (PHI),Health Care,Health Care Providers & Services,Argentina,0.0
facilcreditos.co,19122,70 GB,27/11/2024,Corporate & Business Data,Financials,Consumer Finance,Colombia,70.0
facilcreditos.co,19122,70 GB,27/11/2024,Financial & Payment Data,Financials,Consumer Finance,Colombia,70.0
www.bent-tree.com,19157,57 GB,26/11/2024,GICS Sector: Real Estate,Real Estate,Real Estate Management & Development,United States,57.0
www.aras-group.ae,20525,70GB,25/11/2024,Corporate & Business Data,Real Estate,Real Estate Management & Development,United Arab Emirates,70.0
bolognafc.it,20603,200Gb,19/11/2024,Personal Identifiable Information (PII),Communication Services,Media,Italy,200.0
bolognafc.it,20603,200Gb,19/11/2024,Financial & Payment Data,Communication Services,Media,Italy,200.0
bolognafc.it,20603,200Gb,19/11/2024,Corporate & Business Data,Communication Services,Media,Italy,200.0
bolognafc.it,20603,200Gb,19/11/2024,Medical & Health Records (PHI),Communication Services,Media,Italy,200.0
walkingtree.org,23418,?,26/11/2024,Personal Identifiable Information (PII),Consumer Discretionary,Consumer Services,India,0.0
walkingtree.org,23418,?,26/11/2024,Financial & Payment Data,Consumer Discretionary,Consumer Services,India,0.0
